香港 Smart,#genre#
新加坡|MeWatch Ch U,http://IP:Port/Smart.php?id=Mewatch_chU
新加坡|MeWatch Suria,http://IP:Port/Smart.php?id=Mewatch_Suria
新加坡|MeWatch Vasantham,http://IP:Port/Smart.php?id=Mewatch_Vasantham
新加坡|MeWatch CNA,http://IP:Port/Smart.php?id=Mewatch_cna

马来西亚|TV1,http://IP:Port/Smart.php?id=TV1
马来西亚|TV1 backup,http://IP:Port/Smart.php?id=TV1_backup
马来西亚|TV2,http://IP:Port/Smart.php?id=TV2
马来西亚|TV3,http://IP:Port/Smart.php?id=TV3
马来西亚|TV3 SD,http://IP:Port/Smart.php?id=TV3_mega
马来西亚|NTV7,http://IP:Port/Smart.php?id=NTV7
马来西亚|TV8,http://IP:Port/Smart.php?id=TV8
马来西亚|TV9,http://IP:Port/Smart.php?id=TV9
马来西亚|Ria,http://IP:Port/Smart.php?id=Ria-0
马来西亚|Ria-3,http://IP:Port/Smart.php?id=Ria_backup
马来西亚|Al-Hijrah,http://IP:Port/Smart.php?id=Alhijrah
马来西亚|Al-Hijrah backup,http://IP:Port/Smart.php?id=Alhijrah_backup
马来西亚|Awani,http://IP:Port/Smart.php?id=Awani
马来西亚|Bernama,http://IP:Port/Smart.php?id=Bernama
马来西亚|Prima,http://IP:Port/Smart.php?id=Prima-0
马来西亚|Prima backup,http://IP:Port/Smart.php?id=AAprima1
马来西亚|Prima backup 2,http://IP:Port/Smart.php?id=AAprima
马来西亚|Ceria,http://IP:Port/Smart.php?id=Ceria
马来西亚|Astro MTV,http://IP:Port/Smart.php?id=AstroMTV
马来西亚|Mecca Live HD,http://IP:Port/Smart.php?id=quran_mido
马来西亚|Madinah HD,http://IP:Port/Smart.php?id=sunnah_mido
马来西亚|Oasis,http://IP:Port/Smart.php?id=Oasis
马来西亚|HBO HD,http://IP:Port/Smart.php?id=Hbo
马来西亚|HBO Signature,http://IP:Port/Smart.php?id=Hbosignature
马来西亚|HBO Hits,http://IP:Port/Smart.php?id=Hbohitshd
马来西亚|NatGeo Wild HD,http://IP:Port/Smart.php?id=Natgeowild
马来西亚|Cartoon Network,http://IP:Port/Smart.php?id=Cn
马来西亚|Nickelodeon,http://IP:Port/Smart.php?id=Nickelodeon
马来西亚|Nick Jr,http://IP:Port/Smart.php?id=Nickjr
马来西亚|Dreamworks,http://IP:Port/Smart.php?id=Dreamworks
